clicks,ctr,impressions,keys,position,rootDomain,siteUrl
9,0.0072,1250,['pak'],16.2792,www.ladies-market.hk,https://www.ladies-market.hk/
8,0.012598425196850394,635,['col'],25.66456692913386,www.ladies-market.hk,https://www.ladies-market.hk/
8,0.035398230088495575,226,['kaz'],21.508849557522122,www.ladies-market.hk,https://www.ladies-market.hk/
8,0.019801980198019802,404,['npl'],17.054455445544555,www.ladies-market.hk,https://www.ladies-market.hk/
7,0.009150326797385621,765,['bgd'],23.652287581699348,www.ladies-market.hk,https://www.ladies-market.hk/
7,0.07954545454545454,88,['geo'],26.03409090909091,www.ladies-market.hk,https://www.ladies-market.hk/
7,0.05555555555555555,126,['mlt'],5.944444444444445,www.ladies-market.hk,https://www.ladies-market.hk/
6,0.14634146341463414,41,['mne'],13.390243902439025,www.ladies-market.hk,https://www.ladies-market.hk/
6,0.05357142857142857,112,['mus'],8.839285714285715,www.ladies-market.hk,https://www.ladies-market.hk/
6,0.05454545454545454,110,['svn'],11.727272727272727,www.ladies-market.hk,https://www.ladies-market.hk/
5,0.04854368932038835,103,['cri'],22.019417475728154,www.ladies-market.hk,https://www.ladies-market.hk/
5,0.024630541871921183,203,['cyp'],15.758620689655173,www.ladies-market.hk,https://www.ladies-market.hk/
5,0.02403846153846154,208,['hrv'],9.134615384615385,www.ladies-market.hk,https://www.ladies-market.hk/
5,0.034722222222222224,144,['mng'],9.277777777777779,www.ladies-market.hk,https://www.ladies-market.hk/
5,0.040983606557377046,122,['pan'],15.950819672131148,www.ladies-market.hk,https://www.ladies-market.hk/
5,0.10416666666666667,48,['plw'],3.7708333333333335,www.ladies-market.hk,https://www.ladies-market.hk/
5,0.024630541871921183,203,['srb'],18.610837438423644,www.ladies-market.hk,https://www.ladies-market.hk/
5,0.023923444976076555,209,['tto'],27.45933014354067,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.07272727272727272,55,['arm'],22.654545454545456,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.031007751937984496,129,['bhr'],14.751937984496124,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.06557377049180328,61,['bhs'],26.83606557377049,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.018018018018018018,222,['dza'],23.58108108108108,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.01509433962264151,265,['irn'],20.67924528301887,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.010610079575596816,377,['mar'],24.480106100795755,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.009411764705882352,425,['per'],26.322352941176472,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.026490066225165563,151,['svk'],16.039735099337747,www.ladies-market.hk,https://www.ladies-market.hk/
4,0.025477707006369428,157,['ury'],22.426751592356688,www.ladies-market.hk,https://www.ladies-market.hk/
3,0.012448132780082987,241,['blr'],21.95435684647303,www.ladies-market.hk,https://www.ladies-market.hk/
3,0.005847953216374269,513,['ecu'],30.08576998050682,www.ladies-market.hk,https://www.ladies-market.hk/
3,0.10714285714285714,28,['imn'],7.25,www.ladies-market.hk,https://www.ladies-market.hk/
3,0.04838709677419355,62,['isl'],7.564516129032258,www.ladies-market.hk,https://www.ladies-market.hk/
3,0.04225352112676056,71,['lao'],11.408450704225352,www.ladies-market.hk,https://www.ladies-market.hk/
3,0.05084745762711865,59,['mda'],27.35593220338983,www.ladies-market.hk,https://www.ladies-market.hk/
3,0.017964071856287425,167,['mmr'],15.766467065868264,www.ladies-market.hk,https://www.ladies-market.hk/
3,0.015873015873015872,189,['tun'],27.534391534391535,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.03076923076923077,65,['bih'],26.630769230769232,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.022727272727272728,88,['eth'],23.022727272727273,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.14285714285714285,14,['ggy'],10.214285714285714,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.0196078431372549,102,['gtm'],23.764705882352942,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.043478260869565216,46,['gum'],5.239130434782608,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.005263157894736842,380,['irq'],34.276315789473685,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.1111111111111111,18,['jey'],9.555555555555555,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.010638297872340425,188,['jor'],32.11702127659574,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.00851063829787234,235,['ken'],21.00851063829787,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.25,8,['lbr'],4.0,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.011363636363636364,176,['lux'],6.255681818181818,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.2,10,['mco'],5.4,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.08695652173913043,23,['mdg'],13.565217391304348,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.06666666666666667,30,['mkd'],25.4,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.09523809523809523,21,['moz'],11.904761904761905,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.0125,160,['omn'],13.93125,www.ladies-market.hk,https://www.ladies-market.hk/
2,0.00975609756097561,205,['uzb'],27.39512195121951,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.011494252873563218,87,['aze'],35.241379310344826,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.25,4,['bes'],33.5,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.03333333333333333,30,['btn'],6.7,www.ladies-market.hk,https://www.ladies-market.hk/
1,1.0,1,['caf'],1.0,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.05,20,['cym'],37.55,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.5,2,['fro'],15.0,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.008333333333333333,120,['gha'],10.316666666666666,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.08333333333333333,12,['gib'],10.5,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.5,2,['gnq'],1.5,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.5,2,['grl'],7.0,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.014925373134328358,67,['hnd'],26.149253731343283,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.007633587786259542,131,['jam'],24.206106870229007,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.015151515151515152,66,['lbn'],24.272727272727273,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.011494252873563218,87,['lby'],11.666666666666666,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.07692307692307693,13,['lie'],5.0,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.030303030303030304,33,['mdv'],7.757575757575758,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.038461538461538464,26,['nam'],9.076923076923077,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.5,2,['nfk'],1.0,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.2,5,['nru'],5.2,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.017543859649122806,57,['png'],8.035087719298247,www.ladies-market.hk,https://www.ladies-market.hk/
