clicks,ctr,impressions,key-1,key-2,keys,position,rootDomain,siteUrl
169,0.006957022888193644,24292,https://www.ladies-market.hk/,女人街,"['https://www.ladies-market.hk/', '女人街']",2.931047258356661,www.ladies-market.hk,https://www.ladies-market.hk/
136,0.07593523171412618,1791,https://www.ladies-market.hk/,mong kok ladies market,"['https://www.ladies-market.hk/', 'mong kok ladies market']",1.615857063093244,www.ladies-market.hk,https://www.ladies-market.hk/
131,0.044955387783115995,2914,https://www.ladies-market.hk/,mongkok ladies market,"['https://www.ladies-market.hk/', 'mongkok ladies market']",1.5432395332875772,www.ladies-market.hk,https://www.ladies-market.hk/
128,0.10622406639004149,1205,https://www.ladies-market.hk/,ladies market hong kong shops,"['https://www.ladies-market.hk/', 'ladies market hong kong shops']",1.7975103734439835,www.ladies-market.hk,https://www.ladies-market.hk/
123,0.1386696730552424,887,https://www.ladies-market.hk/,lady's market,"['https://www.ladies-market.hk/', ""lady's market""]",2.686583990980834,www.ladies-market.hk,https://www.ladies-market.hk/
122,0.0775588048315321,1573,https://www.ladies-market.hk/,lady market hong kong,"['https://www.ladies-market.hk/', 'lady market hong kong']",3.7075651621106167,www.ladies-market.hk,https://www.ladies-market.hk/
122,0.003004112186353451,40611,https://www.ladies-market.hk/how-to-get-there,ladies market,"['https://www.ladies-market.hk/how-to-get-there', 'ladies market']",3.7125163133141266,www.ladies-market.hk,https://www.ladies-market.hk/
114,0.1393643031784841,818,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,mong kok ladies market mtr exit,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'mong kok ladies market mtr exit']",3.008557457212714,www.ladies-market.hk,https://www.ladies-market.hk/
113,0.029116207163102294,3881,https://www.ladies-market.hk/,ladies' market photos,"['https://www.ladies-market.hk/', ""ladies' market photos""]",3.8703942282916772,www.ladies-market.hk,https://www.ladies-market.hk/
112,0.02707275803722504,4137,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,ladies market near me,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'ladies market near me']",3.8885665941503507,www.ladies-market.hk,https://www.ladies-market.hk/
111,0.07409879839786382,1498,https://www.ladies-market.hk/,ladies market mong kok,"['https://www.ladies-market.hk/', 'ladies market mong kok']",1.5854472630173566,www.ladies-market.hk,https://www.ladies-market.hk/
111,0.19646017699115045,565,https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station,ladies market nearest mtr,"['https://www.ladies-market.hk/how-to-get-to-ladies-market-from-mongkok-mtr-station', 'ladies market nearest mtr']",2.2955752212389378,www.ladies-market.hk,https://www.ladies-market.hk/
108,0.06312098188194039,1711,https://www.ladies-market.hk/,ladies market in mongkok,"['https://www.ladies-market.hk/', 'ladies market in mongkok']",3.9158386908240796,www.ladies-market.hk,https://www.ladies-market.hk/
107,0.005331074684868716,20071,https://www.ladies-market.hk/shopping,ladies market mongkok,"['https://www.ladies-market.hk/shopping', 'ladies market mongkok']",3.459020477305565,www.ladies-market.hk,https://www.ladies-market.hk/
106,0.010485705806706895,10109,https://www.ladies-market.hk/opening-hours,ladies' market,"['https://www.ladies-market.hk/opening-hours', ""ladies' market""]",3.978830744880799,www.ladies-market.hk,https://www.ladies-market.hk/
