clicks,ctr,impressions,keys,position,rootDomain,siteUrl
1,0.0136986301369863,73,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-009'],20.986301369863014,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.03571428571428571,28,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-015'],12.357142857142858,www.ladies-market.hk,https://www.ladies-market.hk/
1,0.125,8,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-040'],9.25,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,28,['https://www.ladies-market.hk/credits'],15.5,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,1,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-002'],11.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,6,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-003'],37.833333333333336,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,7,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-005'],8.857142857142858,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,1,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-006'],11.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,1,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-012'],5.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,2,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-016'],7.5,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,1,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-020'],12.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,1,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-021'],7.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,363,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-022'],7.820936639118457,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,1,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-028'],3.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,2,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-033'],5.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,30,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-034'],20.833333333333332,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,12,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-036'],20.916666666666668,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,1,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-037'],10.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,124,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-038'],9.209677419354838,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,6,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-041'],35.666666666666664,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,553,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-042'],30.037974683544302,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,88,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-043'],14.579545454545455,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,463,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-044'],50.80777537796976,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,6,['https://www.ladies-market.hk/gallery/pages/ladies-market.hk-045'],8.333333333333332,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,1,['https://www.ladies-market.hk/images/slide1.jpg'],1.0,www.ladies-market.hk,https://www.ladies-market.hk/
0,0.0,6208,['https://www.ladies-market.hk/other-hong-kong-sites'],5.719877577319588,www.ladies-market.hk,https://www.ladies-market.hk/
